コード,略称,名称,名称,カタカナ,郵便番号,住所1,住所2,TEL,FAX,携帯,社員ID,社員氏名,アシスタントID,アシスタント氏名,適格事業者登録番号,免税事業者,事業所ID,事業所名,部署コード,部署名,得意先,一般仕入,外注仕入,得意先締日,支払サイクル,支払日,回収区分,基準金額,以上回収条件,以上手形サイト,以上回収方法,未満回収条件,未満手形サイト,未満回収方法,諸口売り,消費税算出区分,インボイス,消費税端数処理,金額端数処理,送り状単価印字,与信限度額,月間取引限度額,請求書発行優先,納品書発行優先,納品書書式,受注用FAX番号,ミルシート送付方法,相殺仕入先,請求書送付先,納品書送付先,領収書送付先,与信額登録先,ミルシート送付先,比重区分,重量計算区分,納品区分,納品号車,代表者氏名,代表者住所,業種1,業種2,業種3,取扱品目,創立年月日,資本金,従業員数,平均月商,粗利益率,決算売上額,納品締切日,取引銀行1,取引銀行2,取引銀行3,主要仕入先1,主要仕入先2,主要仕入先3,主要販売先1,主要販売先2,主要販売先3,仕入先締め日,支払サイクル2,支払日,基準金額,以上支払条件,以上手形サイト,未満支払条件,未満支払条件,附帯条件,消費税算出区分,消費税端数処理,金額端数処理,発注書FAX処理,発注書FAX送信番号,発注書担当者名,仕入納品区分,仕入号車,納品先,受注不可,使用不可,発注書形式,緯度,経度,登録日
-----,,,,,,,,,,,0,,0,*,,,,,0,,,,,31,翌月,31,一律条件,\0,,,,,,,あり,非課税,,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,,,,,,通常,通常,0,0,,,,,,,,\0,0,\0,\0,\0,31,,,,,,,,,,31,翌々月,25,\0,,,,0,,非課税,四捨五入,四捨五入,自動送信しない,,,0,0,,0,0,,,,18/12/14
10000,＿＿＿,＿＿＿,,ﾃｽﾄﾖｳ,000-0000,,,99-9999-9999,99-9999-9999,,154,柴坂仁志,0,*,test,,1,本社,105,営業開発,-1,-1,,31,５ヶ月,31,一律条件,\0,現金,,集金(本社),,,,あり,請求書,-1,四捨五入,切捨,印字しない,,,発行:郵送,通常,納品書,0669227631,,,10000,10000,10000,10000,,通常,通常,"9,000",16,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,15,\100,支払手形(りそな),135,振込,27,,明細,四捨五入,四捨五入,する,0669222258,柴坂,62,99,[310000 納品先テスト用Ｒ 未定 ] ,0,0,B5(指定),,,05/07/30
11000,KSC製作　　　　　　　,KSC製作　　　　　　　,,KSCｾｲｻｸ,,　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　,,,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,,,31,当月,,一律条件,\0,,,,,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,11000,11000,11000,11000,,通常,通常,0,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,,,05/01/01
11001,青山特殊鋼㈱　東大阪支店,青山特殊鋼㈱　東大阪支店,,ｱｵﾔﾏﾄｸｼｭｺｳﾋｶﾞｼｵｵｻｶｼﾃ,578-0914,大阪府東大阪市箕輪2-8-1,,0729-68-0410,0729-68-0640,,24,佐久田朝仁,58,南　智子,,,1,本社,101,(大阪)営業１Ｇ,-1,-1,,20,翌月,20,以上/未満,\500,受取手形(発行),100,送金(本社),振込,,振込(本社),あり,請求書,-1,四捨五入,四捨五入,印字しない,,,PDF,PDF,納品書,,Ｅメール,,411001,411001,11001,11001,,通常,通常,67,17,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,15,\100,支払手形(りそな),135,振込,27,,明細,四捨五入,四捨五入,自動送信しない,0665310950,,67,17,[308085 ㈱酒井製作所 滋賀発→大阪 14号車] [324014 不二パウダル㈱ 滋賀発→大阪 17号車] [324018 ㈱薮内製作所 滋賀発→大阪 11号車] ,0,0,B5,34.688286,135.610229,05/01/01
11002,㈱メタルカット,㈱メタルカット,,ﾒﾀﾙｶｯﾄ,532-0003,大阪府大阪市淀川区宮原4-1-6 10階,ｱｸﾛｽ新大阪ﾋﾞﾙ,06-4807-3235,06-4807-3236,,24,佐久田朝仁,58,南　智子,,,1,本社,101,(大阪)営業１Ｇ,-1,-1,,31,翌月,31,一律条件,\0,受取手形(発行),120,集金(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,11002,11002,11002,11002,11002,,通常,通常,0,,野村　篤郎,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,25,\100,支払手形(りそな),125,振込,27,,明細,四捨五入,四捨五入,自動送信しない,,,67,,[366070 ㈱ﾋﾛｴﾝﾀｰﾌﾟﾗｲｽﾞ 未定 ] [378021 ㈱木曽造船 ダイエイ便 ] ,0,0,B5,34.736835,135.50032,05/01/01
11003,㈲アド．サイン,㈲アド．サイン,,ｱﾄﾞｻｲﾝ,572-0026,大阪府寝屋川市石津中町15-2,,072-838-3981,072-838-0379,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,,,20,翌月,31,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,11003,11003,11003,11003,,通常,通常,0,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,[312018 ㈲アドサイン四条畷 未定 ] [312085 ㈲ｱﾄﾞｻｲﾝ四条畷ＰＭ 未定 ] ,-1,-1,,34.779236,135.621231,05/01/01
11004,アークハリマ㈱,アークハリマ㈱,,ｱｰｸﾊﾘﾏ,671-0252,兵庫県姫路市花田町加納原田771-1,,0792-52-2234,0792-52-0102,,170,福井章人,0,*,T1140001057446,,1,本社,101,(大阪)営業１Ｇ,-1,-1,,31,翌々月,5,以上/未満,\100,受取手形(発行),,送金(本社),振込,,振込(本社),あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,11004,11004,11004,11004,11004,,通常,通常,6,,柴田　和久,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,25,\100,支払手形(りそな),125,振込,27,,明細,四捨五入,四捨五入,自動送信しない,0792520102,,6,,,0,0,B5,34.833473,134.729691,05/01/01
11005,粟井鋼商事㈱,粟井鋼商事㈱,,ｱﾜｲﾊｶﾞﾈｼｮｳｼﾞ,542-0061,大阪府大阪市中央区安堂寺町2-5-15,,06-6762-5501,06-6762-5508,,99,木下誠,0,*,T3120001077337,,1,本社,105,営業開発,,-1,,31,当月,31,一律条件,\0,,,,,,,あり,明細,,四捨五入,四捨五入,印字する,,,発行:郵送,通常,納品書,,,,,,,,,JIS,通常,0,,,,,,,,,,,,,,,,,,,,,,,,31,翌月,25,\100,支払手形(りそな),125,振込,27,,請求書,四捨五入,四捨五入,自動送信しない,0667625508,,"9,000",,,0,0,B5,34.676788,135.513351,09/03/26
11006,朝日ステンレス㈱,朝日ステンレス㈱,,ｱｻﾋｽﾃﾝﾚｽ,535-0022,大阪府大阪市旭区新森7-4-28,,06-6952-1331,06-6953-2686,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,-1,,20,翌月,10,以上/未満,\100,受取手形(発行),,送金(本社),振込,,振込(本社),あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,11006,11006,11006,11006,11006,,通常,通常,0,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,25,\100,支払手形(りそな),125,振込,27,,請求書,四捨五入,四捨五入,自動送信しない,,,67,,,0,0,B5,34.718719,135.563461,05/01/01
11007,朝日機工㈱,朝日機工㈱,,ｱｻﾋｷｺｳ,570-0034,大阪府守口市西郷通2-11-11,,06-6996-6971,06-6996-5403,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,,,20,翌月,20,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,11007,11007,11007,11007,,通常,通常,0,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,-1,-1,,34.730145,135.573257,05/01/01
